ID;sexe;age;revenus_K€;enfants;enfant_conduite_accompagnee;type_vehicule;age_vehicule;est_rouge;usage_vehicule;type_conduite;points_perdus;date_demande;formule;tarif_devis_€
72;M;[35-45];> 150;non;non;z_SUV;12;non;Private;Highly Urban/ Urban;2;janvier;dev_express;< 300
73;M;< 15;[75-100];non;non;Minivan;9;oui;Private;Highly Urban/ Urban;2;avril;dev_integral;< 300
74;F;> 75;[75-100];oui;non;Minivan;9;non;Private;z_Highly Rural/ Rural;2;février;dev_premium;[450-600]
75;M;> 75;[25-50];non;non;Pickup;8;non;Private;Highly Urban/ Urban;0;janvier;dev_express;< 300
76;F;[25-35];[100-125];non;non;z_SUV;18;non;Private;Highly Urban/ Urban;1;avril;dev_integral;[300-450]
77;F;[65-75];[50-75];non;non;Minivan;1;non;Commercial;Highly Urban/ Urban;5;mai;dev_express;< 300
78;M;[45-55];[25-50];non;non;Panel Truck;11;non;Commercial;Highly Urban/ Urban;4;janvier;dev_premium;[300-450]
79;F;[45-55];[25-50];non;non;Minivan;6;non;Private;Highly Urban/ Urban;4;février;dev_express;< 300
80;M;[55-65];[100-125];non;non;Minivan;1;oui;Private;Highly Urban/ Urban;1;avril;dev_premium;[300-450]
81;M;> 75;< 25;non;non;Sports Car;3;non;Private;z_Highly Rural/ Rural;0;janvier;dev_express;< 300
82;M;[55-65];[100-125];non;non;Van;8;oui;Commercial;z_Highly Rural/ Rural;0;février;dev_express;< 300
83;F;[65-75];[25-50];oui;non;z_SUV;4;non;Commercial;Highly Urban/ Urban;0;avril;dev_express;< 300
84;M;[55-65];< 25;non;non;Sports Car;;non;Private;z_Highly Rural/ Rural;1;mai;dev_express;< 300
85;M;[55-65];[50-75];non;non;Pickup;8;oui;Commercial;Highly Urban/ Urban;2;janvier;dev_express;< 300
86;M;[35-45];[25-50];non;non;Minivan;9;oui;Private;Highly Urban/ Urban;0;mars;dev_express;< 300
87;M;[45-55];< 25;non;non;Minivan;17;non;Private;Highly Urban/ Urban;0;janvier;dev_premium;[450-600]
88;F;[15-25];< 25;oui;oui;z_SUV;1;non;Private;z_Highly Rural/ Rural;0;mai;dev_express;< 300
89;M;[45-55];[25-50];non;non;Minivan;13;non;Private;Highly Urban/ Urban;0;février;dev_premium;[450-600]
90;M;[55-65];[25-50];oui;non;Sports Car;2;non;Private;z_Highly Rural/ Rural;0;janvier;dev_integral;< 300
91;M;> 75;[50-75];non;non;Minivan;1;non;Commercial;Highly Urban/ Urban;3;avril;dev_express;< 300
92;F;< 15;< 25;oui;non;Minivan;1;non;Private;Highly Urban/ Urban;1;mars;dev_premium;[300-450]
93;F;< 15;[75-100];non;non;Sports Car;1;non;Private;Highly Urban/ Urban;6;février;dev_premium;[450-600]
94;M;[55-65];[50-75];non;non;Van;1;oui;Private;Highly Urban/ Urban;0;janvier;dev_express;< 300
95;F;[65-75];[50-75];non;non;Pickup;11;non;Private;Highly Urban/ Urban;4;avril;dev_integral;< 300
96;F;[45-55];[25-50];non;non;Pickup;5;oui;Commercial;z_Highly Rural/ Rural;1;janvier;dev_integral;[300-450]
97;M;[55-65];[25-50];non;non;Minivan;1;non;Private;Highly Urban/ Urban;7;mars;dev_express;< 300
98;F;[35-45];[50-75];oui;oui;Minivan;6;oui;Private;Highly Urban/ Urban;0;avril;dev_integral;< 300
99;M;[35-45];[50-75];oui;non;Van;8;oui;Private;Highly Urban/ Urban;1;mai;dev_integral;[300-450]
100;M;[15-25];[50-75];non;non;z_SUV;1;non;Commercial;Highly Urban/ Urban;0;février;dev_integral;[300-450]
101;M;[65-75];< 25;oui;non;Pickup;12;non;Commercial;Highly Urban/ Urban;2;février;dev_integral;[300-450]
102;F;[15-25];[50-75];oui;non;Minivan;1;non;Private;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
103;M;[45-55];[100-125];non;non;Minivan;11;non;Private;Highly Urban/ Urban;6;janvier;dev_integral;[300-450]
104;M;< 15;> 150;non;non;Panel Truck;17;oui;Commercial;Highly Urban/ Urban;4;janvier;dev_express;< 300
105;M;[55-65];[50-75];non;non;Minivan;12;oui;Private;Highly Urban/ Urban;1;mai;dev_premium;[300-450]
106;M;[25-35];< 25;oui;non;Panel Truck;14;oui;Commercial;Highly Urban/ Urban;0;mars;dev_integral;< 300
107;F;[65-75];< 25;oui;oui;Minivan;5;non;Private;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
108;M;[35-45];[50-75];oui;non;Minivan;12;oui;Commercial;z_Highly Rural/ Rural;1;mars;dev_integral;[300-450]
109;F;[55-65];[125-150];oui;non;Minivan;11;oui;Private;Highly Urban/ Urban;5;janvier;dev_express;< 300
110;M;> 75;< 25;non;non;z_SUV;9;non;Private;Highly Urban/ Urban;0;avril;dev_premium;[300-450]
111;M;[45-55];[50-75];non;non;z_SUV;9;non;Commercial;Highly Urban/ Urban;0;janvier;dev_integral;< 300
112;M;[55-65];[100-125];oui;oui;Minivan;12;non;Commercial;Highly Urban/ Urban;0;mai;dev_express;< 300
113;M;[65-75];< 25;oui;non;z_SUV;8;non;Private;Highly Urban/ Urban;0;mars;dev_express;< 300
114;F;[65-75];[25-50];oui;non;Minivan;6;non;Commercial;Highly Urban/ Urban;2;mars;dev_express;< 300
115;F;[55-65];[75-100];non;non;z_SUV;14;non;Private;Highly Urban/ Urban;0;janvier;dev_premium;[300-450]
116;F;[45-55];< 25;oui;oui;Minivan;1;non;Private;z_Highly Rural/ Rural;0;janvier;dev_premium;[450-600]
117;F;> 75;[25-50];oui;oui;Sports Car;11;non;Private;z_Highly Rural/ Rural;0;janvier;dev_express;< 300
118;F;[55-65];< 25;oui;oui;Pickup;7;non;Private;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
119;M;< 15;[50-75];oui;oui;Sports Car;1;non;Commercial;Highly Urban/ Urban;2;mai;dev_integral;[300-450]
120;M;< 15;[75-100];non;non;Minivan;15;non;Private;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
121;M;[65-75];< 25;non;non;z_SUV;13;non;Private;z_Highly Rural/ Rural;0;février;dev_integral;[300-450]
122;M;[55-65];[75-100];oui;non;Minivan;11;oui;Private;Highly Urban/ Urban;2;février;dev_express;< 300
123;M;[65-75];[100-125];non;non;z_SUV;12;non;Private;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
124;F;[45-55];[50-75];non;non;Pickup;11;oui;Private;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
125;F;[25-35];[25-50];oui;non;Van;9;non;Private;Highly Urban/ Urban;4;janvier;dev_integral;[300-450]
126;M;[25-35];[75-100];non;non;Minivan;8;non;Private;Highly Urban/ Urban;0;avril;dev_integral;< 300
127;M;[65-75];[100-125];non;non;Minivan;1;non;Private;Highly Urban/ Urban;2;avril;dev_integral;< 300
128;M;[15-25];< 25;non;non;Minivan;1;oui;Commercial;z_Highly Rural/ Rural;7;mars;dev_express;< 300
129;M;[15-25];[50-75];non;non;Sports Car;;non;Commercial;Highly Urban/ Urban;1;avril;dev_premium;[450-600]
130;M;[55-65];[125-150];non;non;Minivan;13;non;Private;Highly Urban/ Urban;1;avril;dev_express;< 300
131;F;[65-75];< 25;oui;non;Sports Car;13;non;Private;Highly Urban/ Urban;0;février;dev_express;< 300
132;F;[65-75];[25-50];oui;non;Minivan;9;non;Private;Highly Urban/ Urban;8;mai;dev_vip;> 600
133;M;< 15;< 25;oui;non;z_SUV;1;non;Private;z_Highly Rural/ Rural;0;mars;dev_express;< 300
134;M;[55-65];[25-50];non;non;Minivan;5;oui;Private;Highly Urban/ Urban;3;février;dev_express;< 300
135;F;< 15;[25-50];oui;oui;z_SUV;9;non;Private;Highly Urban/ Urban;0;avril;dev_integral;< 300
136;F;> 75;[75-100];oui;non;Minivan;16;non;Private;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
137;M;< 15;[25-50];non;non;Van;15;oui;Commercial;Highly Urban/ Urban;2;mars;dev_integral;[300-450]
138;M;[35-45];[125-150];oui;oui;Van;9;non;Commercial;Highly Urban/ Urban;4;mai;dev_express;< 300
139;M;[45-55];[25-50];oui;non;z_SUV;1;non;Commercial;Highly Urban/ Urban;4;mai;dev_express;< 300
140;F;[45-55];< 25;oui;non;Sports Car;7;non;Private;Highly Urban/ Urban;6;avril;dev_premium;[450-600]
141;M;[45-55];[75-100];non;non;Sports Car;9;non;Commercial;Highly Urban/ Urban;2;mars;dev_integral;[300-450]
142;F;[45-55];[100-125];non;non;Minivan;9;non;Private;Highly Urban/ Urban;0;février;dev_integral;< 300
143;F;< 15;[125-150];oui;non;Pickup;12;oui;Private;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
144;M;> 75;[25-50];non;non;z_SUV;15;non;Private;Highly Urban/ Urban;5;février;dev_premium;[450-600]
145;M;> 75;< 25;oui;non;z_SUV;;non;Commercial;Highly Urban/ Urban;7;mai;dev_express;< 300
146;M;[45-55];[25-50];non;non;z_SUV;11;non;Private;Highly Urban/ Urban;2;mai;dev_express;< 300
147;M;[55-65];[75-100];non;non;z_SUV;7;non;Private;Highly Urban/ Urban;0;février;dev_integral;[300-450]
148;M;[35-45];< 25;oui;oui;z_SUV;10;non;Private;z_Highly Rural/ Rural;1;avril;dev_integral;< 300
149;F;[65-75];[75-100];non;non;z_SUV;19;non;Private;Highly Urban/ Urban;0;mars;dev_integral;< 300
150;F;> 75;[75-100];non;non;Minivan;15;non;Private;z_Highly Rural/ Rural;0;février;dev_express;< 300
151;M;> 75;[25-50];non;non;Minivan;10;non;Private;Highly Urban/ Urban;0;février;dev_integral;[300-450]
152;F;[65-75];[50-75];non;non;z_SUV;5;non;Private;Highly Urban/ Urban;2;mars;dev_express;< 300
153;F;[55-65];< 25;oui;non;Minivan;1;oui;Private;Highly Urban/ Urban;3;janvier;dev_express;< 300
154;M;[25-35];[25-50];non;non;Minivan;4;non;Private;Highly Urban/ Urban;1;mars;dev_express;< 300
155;F;> 75;[25-50];oui;non;Pickup;9;oui;Commercial;z_Highly Rural/ Rural;0;février;dev_integral;[300-450]
156;M;> 75;[125-150];oui;oui;Van;12;oui;Commercial;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
157;F;[65-75];< 25;oui;non;Sports Car;4;non;Private;Highly Urban/ Urban;5;avril;dev_express;< 300
158;M;[65-75];[75-100];non;non;Pickup;15;non;Private;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
159;M;> 75;[100-125];non;non;Minivan;9;oui;Commercial;z_Highly Rural/ Rural;0;mai;dev_integral;[300-450]
160;M;[65-75];[75-100];non;non;z_SUV;1;non;Commercial;Highly Urban/ Urban;6;février;dev_integral;< 300
161;M;[65-75];[75-100];oui;oui;Sports Car;8;non;Private;Highly Urban/ Urban;0;mai;dev_integral;< 300
162;M;[25-35];[100-125];non;non;z_SUV;12;non;Private;Highly Urban/ Urban;2;mars;dev_premium;[450-600]
163;F;[45-55];> 150;oui;oui;Minivan;12;non;Private;z_Highly Rural/ Rural;1;février;dev_integral;[300-450]
164;F;[65-75];[25-50];oui;non;Minivan;14;non;Private;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
165;F;[55-65];< 25;non;non;Sports Car;8;non;Private;z_Highly Rural/ Rural;1;avril;dev_express;< 300
166;F;[45-55];< 25;oui;oui;Minivan;1;non;Private;Highly Urban/ Urban;1;avril;dev_express;< 300
167;F;> 75;[50-75];oui;non;Sports Car;17;non;Private;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
168;F;[15-25];[25-50];oui;non;Pickup;4;oui;Commercial;Highly Urban/ Urban;0;mai;dev_integral;< 300
169;F;[55-65];[100-125];non;non;Panel Truck;;non;Commercial;Highly Urban/ Urban;1;avril;dev_integral;< 300
170;F;[65-75];[25-50];non;non;z_SUV;11;non;Commercial;Highly Urban/ Urban;2;mai;dev_integral;[300-450]
171;M;[35-45];[75-100];oui;non;Pickup;11;oui;Private;Highly Urban/ Urban;1;février;dev_express;< 300
172;F;[25-35];< 25;non;non;Minivan;1;non;Commercial;Highly Urban/ Urban;2;mai;dev_integral;[300-450]
173;M;[55-65];[75-100];non;non;Minivan;11;non;Commercial;z_Highly Rural/ Rural;0;février;dev_integral;[300-450]
174;F;[45-55];[50-75];oui;non;Minivan;20;oui;Private;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
175;M;[45-55];< 25;non;non;z_SUV;1;non;Private;Highly Urban/ Urban;2;avril;dev_express;< 300
176;M;> 75;[100-125];non;non;Pickup;;non;Commercial;Highly Urban/ Urban;6;janvier;dev_integral;< 300
177;F;[55-65];< 25;non;non;Van;12;non;Commercial;Highly Urban/ Urban;0;février;dev_express;< 300
178;M;[25-35];< 25;non;non;Sports Car;16;non;Private;Highly Urban/ Urban;0;janvier;dev_express;< 300
179;M;[55-65];< 25;oui;non;z_SUV;1;non;Private;z_Highly Rural/ Rural;0;janvier;dev_integral;< 300
180;F;[55-65];[25-50];oui;non;Van;6;oui;Commercial;Highly Urban/ Urban;0;mai;dev_premium;[450-600]
181;F;> 75;[50-75];non;non;Pickup;;non;Commercial;Highly Urban/ Urban;1;mai;dev_express;< 300
182;F;[25-35];[25-50];oui;oui;Van;6;non;Commercial;z_Highly Rural/ Rural;1;février;dev_express;< 300
183;M;[45-55];> 150;non;non;Panel Truck;13;oui;Commercial;z_Highly Rural/ Rural;0;janvier;dev_integral;[300-450]
184;F;> 75;[100-125];non;non;Van;10;oui;Private;Highly Urban/ Urban;0;janvier;dev_premium;[300-450]
185;F;[65-75];< 25;non;non;Pickup;1;oui;Private;Highly Urban/ Urban;1;mai;dev_express;< 300
186;M;[15-25];[25-50];oui;oui;z_SUV;5;non;Commercial;Highly Urban/ Urban;6;avril;dev_premium;[300-450]
187;F;[65-75];< 25;non;non;z_SUV;1;non;Private;Highly Urban/ Urban;0;mars;dev_integral;[300-450]
188;F;[15-25];< 25;oui;non;z_SUV;9;non;Private;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
189;F;[65-75];< 25;non;non;z_SUV;1;non;Private;Highly Urban/ Urban;0;janvier;dev_premium;[450-600]
190;F;< 15;[75-100];non;non;Minivan;11;non;Private;Highly Urban/ Urban;0;mai;dev_vip;[450-600]
191;M;[45-55];[75-100];non;non;Van;;oui;Commercial;Highly Urban/ Urban;5;mai;dev_express;< 300
192;M;< 15;[25-50];non;non;Sports Car;1;non;Private;Highly Urban/ Urban;3;janvier;dev_premium;[450-600]
193;F;[65-75];[100-125];non;non;Sports Car;7;non;Private;z_Highly Rural/ Rural;0;janvier;dev_integral;[300-450]
194;F;[25-35];[50-75];non;non;Panel Truck;1;non;Commercial;Highly Urban/ Urban;1;janvier;dev_premium;[450-600]
195;F;[45-55];> 150;non;non;z_SUV;15;non;Private;Highly Urban/ Urban;0;février;dev_integral;[300-450]
196;F;[65-75];[50-75];oui;non;Sports Car;7;non;Private;Highly Urban/ Urban;3;avril;dev_premium;[300-450]
197;F;[55-65];[50-75];oui;non;Minivan;17;non;Private;Highly Urban/ Urban;4;février;dev_express;< 300
198;M;> 75;[100-125];non;non;Panel Truck;13;non;Commercial;Highly Urban/ Urban;2;avril;dev_express;< 300
199;F;[45-55];[25-50];oui;non;z_SUV;4;non;Private;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
200;F;[65-75];[25-50];non;non;Minivan;;non;Commercial;z_Highly Rural/ Rural;0;février;dev_express;< 300
201;M;[15-25];[25-50];non;non;Sports Car;8;oui;Private;Highly Urban/ Urban;9;mars;dev_express;< 300
202;M;[65-75];[50-75];non;non;Pickup;7;oui;Commercial;Highly Urban/ Urban;4;mai;dev_integral;[300-450]
203;M;[55-65];[25-50];oui;oui;Minivan;1;oui;Commercial;Highly Urban/ Urban;0;avril;dev_premium;[300-450]
204;F;> 75;[50-75];non;non;z_SUV;14;non;Commercial;z_Highly Rural/ Rural;2;avril;dev_premium;[450-600]
205;M;> 75;[25-50];oui;non;Sports Car;7;non;Private;Highly Urban/ Urban;3;avril;dev_express;< 300
206;M;[45-55];[50-75];non;non;Minivan;1;oui;Commercial;Highly Urban/ Urban;0;mars;dev_express;< 300
207;M;> 75;[50-75];non;non;Minivan;;oui;Commercial;Highly Urban/ Urban;6;mai;dev_integral;[300-450]
208;M;[55-65];< 25;non;non;Minivan;12;non;Private;z_Highly Rural/ Rural;0;février;dev_express;< 300
209;M;[55-65];[25-50];oui;oui;Panel Truck;8;oui;Commercial;Highly Urban/ Urban;1;avril;dev_premium;[450-600]
210;F;[45-55];[25-50];oui;non;z_SUV;5;non;Private;z_Highly Rural/ Rural;0;avril;dev_integral;[300-450]
211;F;[15-25];[50-75];oui;oui;Minivan;8;non;Private;z_Highly Rural/ Rural;1;janvier;dev_integral;< 300
212;F;[45-55];[100-125];non;non;Panel Truck;16;oui;Commercial;Highly Urban/ Urban;1;mars;dev_express;< 300
213;F;[55-65];[25-50];non;non;z_SUV;;oui;Private;Highly Urban/ Urban;1;mai;dev_integral;< 300
214;F;[45-55];[25-50];non;non;Van;5;non;Commercial;Highly Urban/ Urban;1;janvier;dev_express;< 300
215;M;[55-65];[25-50];oui;non;Van;;non;Commercial;Highly Urban/ Urban;5;février;dev_integral;< 300
216;M;[65-75];[100-125];non;non;z_SUV;13;non;Private;Highly Urban/ Urban;0;janvier;dev_premium;[450-600]
217;F;[45-55];[25-50];oui;non;Pickup;6;oui;Private;Highly Urban/ Urban;2;mars;dev_express;< 300
218;F;< 15;[50-75];non;non;z_SUV;19;non;Private;Highly Urban/ Urban;8;avril;dev_premium;[300-450]
219;M;[55-65];< 25;non;non;Sports Car;1;non;Private;Highly Urban/ Urban;0;avril;dev_premium;[450-600]
220;M;[65-75];[25-50];oui;oui;Minivan;1;non;Private;z_Highly Rural/ Rural;1;avril;dev_integral;[300-450]
221;M;[65-75];[100-125];oui;non;Sports Car;16;non;Private;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
222;M;[65-75];< 25;oui;oui;Pickup;18;non;Commercial;z_Highly Rural/ Rural;0;mai;dev_integral;[300-450]
223;F;[25-35];[75-100];non;non;z_SUV;3;non;Private;Highly Urban/ Urban;4;janvier;dev_premium;[450-600]
224;F;< 15;[100-125];oui;non;z_SUV;5;non;Commercial;Highly Urban/ Urban;5;janvier;dev_integral;[300-450]
225;F;> 75;[25-50];non;non;Minivan;1;non;Commercial;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
226;M;[55-65];[125-150];non;non;Minivan;10;non;Private;Highly Urban/ Urban;4;mai;dev_express;< 300
227;F;[65-75];[25-50];non;non;z_SUV;9;non;Private;Highly Urban/ Urban;3;mars;dev_integral;[300-450]
228;M;[25-35];[25-50];oui;non;z_SUV;3;non;Private;z_Highly Rural/ Rural;0;février;dev_premium;[300-450]
229;F;[65-75];< 25;non;non;Minivan;1;oui;Private;Highly Urban/ Urban;0;mars;dev_premium;[300-450]
230;F;> 75;[25-50];non;non;Pickup;1;oui;Private;Highly Urban/ Urban;5;janvier;dev_express;< 300
231;F;[25-35];[50-75];non;non;z_SUV;;non;Private;Highly Urban/ Urban;3;mai;dev_express;< 300
232;M;< 15;[50-75];oui;oui;Minivan;7;oui;Private;Highly Urban/ Urban;0;mai;dev_express;< 300
233;F;[25-35];[75-100];non;non;Minivan;;oui;Private;Highly Urban/ Urban;3;janvier;dev_express;< 300
